"MGRS_10km","n.taxa","n.neigh","ratio","diff"
"29SQA26",23,370,15.0869565217391,347
"29SNC43",348,809,1.32471264367816,461
"29SNC42",155,753,3.85806451612903,598
"29SQA28",104,756,6.26923076923077,652
"29SNC45",254,734,1.88976377952756,480
"29SQA27",2,567,282.5,565
"29SNC44",387,824,1.12919896640827,437
"29SNC47",172,643,2.73837209302326,471
"29SQA29",592,862,0.456081081081081,270
"29SNC46",129,666,4.16279069767442,537
"29SNC49",142,602,3.23943661971831,460
"29SNC48",301,675,1.24252491694352,374
"29SNC41",112,585,4.22321428571429,473
"29SNC40",73,437,4.98630136986301,364
"29SNC39",121,620,4.12396694214876,499
"29SNC76",324,732,1.25925925925926,408
"29SNC75",335,675,1.01492537313433,340
"29SNC78",148,653,3.41216216216216,505
"29SNC77",340,707,1.07941176470588,367
"29SQA19",183,819,3.47540983606557,636
"29SNC79",151,485,2.21192052980132,334
"29SNC70",50,618,11.36,568
"29SNC72",273,821,2.00732600732601,548
"29SNC71",248,728,1.93548387096774,480
"29SNC74",161,767,3.7639751552795,606
"29SNC73",177,754,3.25988700564972,577
"29SNC65",151,654,3.33112582781457,503
"29SNC64",100,810,7.1,710
"29SNC67",448,672,0.5,224
"29SNC66",135,712,4.27407407407407,577
"29SNC69",126,576,3.57142857142857,450
"29SNC68",141,737,4.22695035460993,596
"29SNC61",66,686,9.39393939393939,620
"29SNC60",78,486,5.23076923076923,408
"29SNC63",552,821,0.48731884057971,269
"29SNC62",333,844,1.53453453453453,511
"29SNC10",272,594,1.18382352941176,322
"29SNC12",160,502,2.1375,342
"29SNC11",252,591,1.3452380952381,339
"29SNC14",146,678,3.64383561643836,532
"29SNC13",68,404,4.94117647058824,336
"29SNC16",338,959,1.83727810650888,621
"29SNC15",338,958,1.83431952662722,620
"29SNC07",78,984,11.6153846153846,906
"29SNC06",699,1083,0.549356223175966,384
"29SNC09",161,688,3.27329192546584,527
"29SNC08",143,690,3.82517482517482,547
"29SNC00",8,424,52,416
"29SNC05",404,1028,1.54455445544554,624
"29SNC32",233,680,1.91845493562232,447
"29SNC31",183,618,2.37704918032787,435
"29SNC34",281,713,1.5373665480427,432
"29SNC33",187,711,2.80213903743316,524
"29SNC36",195,713,2.65641025641026,518
"29SNC35",240,739,2.07916666666667,499
"29SNC38",189,709,2.75132275132275,520
"29SNC37",254,698,1.74803149606299,444
"29SNC30",127,560,3.40944881889764,433
"29SNC29",401,568,0.41645885286783,167
"29SNC28",139,622,3.47482014388489,483
"29SNC21",227,688,2.03083700440529,461
"29SNC20",225,678,2.01333333333333,453
"29SNC23",212,591,1.7877358490566,379
"29SNC22",183,643,2.51366120218579,460
"29SNC25",181,761,3.20441988950276,580
